Condominium, Condominio,
Condominium Ve, Condominios Venezuela,
Housing, Vivienda,
Aliquot, Alicuota,
Owner Customer, Propietario,
Is For Condominium, Es para condominio,
Condominium Common Expenses, Gastos Comunes del Condominio,
Number of Houses, Numero de Unidades,
Condominium Common Expenses Invoices, Gastos Comunes del Condominio Facturas,
Condominium Common Expenses Detail, Gastos Comunes del Condominio Detalle,
Invoices, Facturas,
Invoice, Factura,
Per Unit, Por unidad,
Active Number of Houses, Numero de Unidades Activas,
Detail, Detalle,
Total Per Unit, Total Por Unidad,
Condominium Sectors, Sectores,
Sector Name, Nombre del Sector,
Tenant Customer, Inquilino,
Link Payment Method, Enlace de Pago Manual,
Generate Code, Generar Codigo,
Condominium Receipt, Recibo de Condominio,
Tenant Consultations, Consultas del Propietario,
Pending payment, Pendiente por pagar,
Saved Successfully, Guardado Exitosamente,
Your information has been submitted, Su informacion ha sido enviada,
Manual payment, Pagos Manuales desde la web,
Accounts Receivable Extended, Cuentas por Cobrar a Propietarios,
Generate Missing Invoices, Generar Recibos Faltantes
Count of Documents Generated Per Month, Conteo de Documentos Generados por Mes
Manual Payment, Pagos Autogestion
Your payment receipt {0} has been created successfully please verify and validate it, Su recibo de pago {0} ha sido creado satisfactoriamente por favor verifiquelo y validelo
